Spot,Sample,Day,Location,LocationNum,%AS,Flow (m*s-1)
1,1,1,Blairgowrie,3,35.99,0.03
1,2,1,Blairgowrie,3,62.43,0.04
1,3,1,Blairgowrie,3,83.17,0.04
1,4,1,Blairgowrie,3,37.21,
1,5,1,Blairgowrie,3,82.95,
1,6,1,Blairgowrie,3,84.23,
2,1,1,Blairgowrie,3,1.85,0.02
2,2,1,Blairgowrie,3,53.47,0.02
2,3,1,Blairgowrie,3,75.58,0.04
2,4,1,Blairgowrie,3,48.01,
2,5,1,Blairgowrie,3,79.14,
2,6,1,Blairgowrie,3,99.29,
3,1,1,Blairgowrie,3,14.73,0.00
3,2,1,Blairgowrie,3,12.43,0.03
3,3,1,Blairgowrie,3,92.33,0.02
3,4,1,Blairgowrie,3,58.50,
3,5,1,Blairgowrie,3,66.51,
3,6,1,Blairgowrie,3,87.54,
4,1,1,Blairgowrie,3,58.50,0.02
4,2,1,Blairgowrie,3,91.82,0.02
4,3,1,Blairgowrie,3,98.70,0.02
4,4,1,Blairgowrie,3,86.34,
4,5,1,Blairgowrie,3,78.53,
4,6,1,Blairgowrie,3,79.19,
5,1,1,Blairgowrie,3,30.54,0.01
5,2,1,Blairgowrie,3,29.00,0.02
5,3,1,Blairgowrie,3,73.32,0.05
5,4,1,Blairgowrie,3,5.83,
5,5,1,Blairgowrie,3,56.50,
5,6,1,Blairgowrie,3,86.49,
6,1,1,Blairgowrie,3,2.21,0.02
6,2,1,Blairgowrie,3,0.41,0.01
6,3,1,Blairgowrie,3,12.05,0.04
6,4,1,Blairgowrie,3,76.30,
6,5,1,Blairgowrie,3,46.80,
6,6,1,Blairgowrie,3,78.00,
7,1,1,Blairgowrie,3,60.62,0.01
7,2,1,Blairgowrie,3,85.76,0.02
7,3,1,Blairgowrie,3,100.76,0.04
7,4,1,Blairgowrie,3,73.23,
7,5,1,Blairgowrie,3,96.83,
7,6,1,Blairgowrie,3,97.22,
8,1,1,Blairgowrie,3,85.25,0.02
8,2,1,Blairgowrie,3,99.68,0.04
8,3,1,Blairgowrie,3,93.22,0.01
8,4,1,Blairgowrie,3,26.94,
8,5,1,Blairgowrie,3,70.31,
8,6,1,Blairgowrie,3,98.20,
9,1,1,Blairgowrie,3,95.65,0.05
9,2,1,Blairgowrie,3,97.29,0.06
9,3,1,Blairgowrie,3,94.12,0.07
9,4,1,Blairgowrie,3,5.53,
9,5,1,Blairgowrie,3,19.97,
9,6,1,Blairgowrie,3,26.18,
10,1,1,Blairgowrie,3,104.30,0.05
10,2,1,Blairgowrie,3,101.96,0.04
10,3,1,Blairgowrie,3,97.21,0.08
10,4,1,Blairgowrie,3,97.48,
10,5,1,Blairgowrie,3,104.38,
10,6,1,Blairgowrie,3,104.60,
11,1,1,Blairgowrie,3,96.30,0.03
11,2,1,Blairgowrie,3,20.90,0.06
11,3,1,Blairgowrie,3,30.85,0.03
11,4,1,Blairgowrie,3,0.32,
11,5,1,Blairgowrie,3,7.56,
11,6,1,Blairgowrie,3,94.58,
12,1,1,Blairgowrie,3,98.46,0.05
12,2,1,Blairgowrie,3,87.26,0.04
12,3,1,Blairgowrie,3,84.32,0.05
12,4,1,Blairgowrie,3,3.00,
12,5,1,Blairgowrie,3,35.17,
12,6,1,Blairgowrie,3,92.69,
1,1,2,Blairgowrie,3,103.17,0.02
1,2,2,Blairgowrie,3,76.20,0.01
1,3,2,Blairgowrie,3,19.75,0.02
1,4,2,Blairgowrie,3,118.55,
1,5,2,Blairgowrie,3,102.43,
1,6,2,Blairgowrie,3,97.36,
2,1,2,Blairgowrie,3,99.16,0.02
2,2,2,Blairgowrie,3,104.50,0.01
2,3,2,Blairgowrie,3,77.81,0.02
2,4,2,Blairgowrie,3,93.31,
2,5,2,Blairgowrie,3,96.18,
2,6,2,Blairgowrie,3,98.30,
3,1,2,Blairgowrie,3,96.13,0.01
