species,column,dry_mass_g,status,shape
Styela plicata,1,1.67,invasive,erect
Styela plicata,2,2.08,invasive,erect
Styela plicata,3,0.74,invasive,erect
Styela plicata,4,1.34,invasive,erect
Styela plicata,5,1.24,invasive,erect
Styela plicata,6,1.37,invasive,erect
Styela plicata,7,1.61,invasive,erect
Styela plicata,8,1.75,invasive,erect
Styela clava,9,1.44,invasive,erect
Styela clava,10,1,invasive,erect
Styela clava,11,0.97,invasive,erect
Styela clava,12,1.57,invasive,erect
Styela clava,13,1.03,invasive,erect
Styela clava,14,0.84,invasive,erect
Styela clava,15,0.73,invasive,erect
Styela clava,16,0.98,invasive,erect
Styela clava,17,0.94,invasive,erect
Styela clava,18,1.36,invasive,erect
Styela clava,19,1.47,invasive,erect
Styela clava,20,1.1,invasive,erect
Styela clava,21,1.68,invasive,erect
Styela clava,22,0.94,invasive,erect
Styela clava,23,1.2,invasive,erect
Styela clava,24,1.7,invasive,erect
Styela clava,25,0.99,invasive,erect
Ciona intestinalis,26,0.25,invasive,erect
Ciona intestinalis,27,0.11,invasive,erect
Ciona intestinalis,28,0.11,invasive,erect
Ciona intestinalis,29,0.24,invasive,erect
Ciona intestinalis,30,0.24,invasive,erect
Ciona intestinalis,31,0.23,invasive,erect
Ciona intestinalis,32,0.23,invasive,erect
Ciona intestinalis,33,0.32,invasive,erect
Ciona intestinalis,34,0.27,invasive,erect
Pyura dalbyi,35,5.44,native,erect
Pyura dalbyi,36,6.56,native,erect
Pyura dalbyi,37,4.65,native,erect
Pyura dalbyi,38,4.97,native,erect
Pyura dalbyi,39,5.32,native,erect
Pyura dalbyi,40,4.74,native,erect
Pyura dalbyi,41,3.19,native,erect
Pyura dalbyi,42,6.85,native,erect
Pyura dalbyi,43,4.47,native,erect
Pyura doppelgangera,44,3.1,native,erect
Pyura doppelgangera,45,4.11,native,erect
Pyura doppelgangera,46,3.9,native,erect
Pyura doppelgangera,47,3.46,native,erect
Pyura doppelgangera,48,6.56,native,erect
Pyura doppelgangera,49,4.92,native,erect
Pyura doppelgangera,50,4.91,native,erect
Pyura doppelgangera,51,4.18,native,erect
Pyura doppelgangera,52,6.92,native,erect
Herdmania grandis,53,1.34,native,erect
Herdmania grandis,54,1.96,native,erect
Herdmania grandis,55,3.89,native,erect
Herdmania grandis,56,2.59,native,erect
Herdmania grandis,57,2.14,native,erect
Herdmania grandis,58,1.94,native,erect
Herdmania grandis,59,1.2,native,erect
Herdmania grandis,60,3.95,native,erect
Herdmania grandis,61,0.95,native,erect
Herdmania grandis,62,1.99,native,erect
Herdmania grandis,63,2.04,native,erect
Herdmania grandis,64,1.79,native,erect
Herdmania grandis,65,1.89,native,erect
Botrylloides magnicoecum,66,0.51,native,erect
Botrylloides magnicoecum,67,0.59,native,erect
Botrylloides magnicoecum,68,0.62,native,erect
Botrylloides magnicoecum,69,0.64,native,erect
Botrylloides magnicoecum,70,0.34,native,erect
Botrylloides magnicoecum,71,0.48,native,erect
Botrylloides magnicoecum,72,1.28,native,erect
Botrylloides magnicoecum,73,1.13,native,erect
Botrylloides magnicoecum,74,0.75,native,erect
