VO 1 ,VO 2,VO 3,VO 4,VO 5,VO 6,VO 7,VO 8,VO 9,VO 10,VO 11,VO 12,VO 13,VO 14,VO 15,VO 16,VO 17,VO 18,VO 19,VO 20,VO 21,VO 22,VO 23,VO 24,VO 25,VO 26,VO 27,VO 28,VO 29,VO 30,VO 31,VO 32,VO 33,VO 34,VO 35,VO 36,VO 37,VO 38,VO 39,VO 40,VO 41,VO 42,VO 43,VO 44,VO 45,VO 46,VO 47,VO 48,VO 49,VO 50,VO 51,VO 52,VO 53,VO 54,VO 55,VO 56,VO 57,VO 58,VO 59,VO 60,VO 61,VO 62,VO 63,VO 64,VO 65,VO 66,VO 67,VO 68,VO 69,VO 70,VO 71,VO 72,VO 73,VO 74,VO 75,VO 76,VO 77,VO 78,VO 79,VO 80,VO 81,VO 82,VO 83,VO 84,VO 85,VO 86,VO 87,VO 88,VO 89,VO 90,VO 91,VO 92,VO 93,VO 94,VO 95,VO 96,VO 97,VO 98,VO 99,VO 100,VO 101,VO 102,VO 103,VO 104,VO 105,VO 106,VO 107,VO 108,VO 109,VO 110,VO 111,VO 112,VO 113,VO 114,VO 115,VO 116,VO 117,VO 118,VO 119,VO 120,VO 121,VO 122,VO 123,VO 124,VO 125,VO 126,VO 127,VO 128,VO 129,VO 130,VO 131,VO 132,VO 133,VO 134,VO 135,VO 136,VO 137,VO 138,VO 139,VO 140,VO 141,VO 142,VO 143
0.37,0.29,0.14,0.16,0.48,0.30,0.38,0.41,0.579295588,0.551059663,0.564741257,0.471717491,0.366675375,0.370302067,0.538606954,0.47447103,0.649000148,0.557506003,0.789160556,0.450024624,0.399416721,0.464351004,0.651642138,0.496101618,0.521460016,0.334928364,0.212204782,0.27940048,0.273380306,0.435444616,0.186216125,0.363940421,0.345408369,0.378412485,0.722256285,0.752637691,0.604718745,0.66256053,0.468805388,0.454705476,0.556275363,0.580758102,0.522663164,0.686037802,0.553546143,0.585134321,0.632804882,0.561739614,0.756263326,0.77221496,0.667490584,0.490013471,0.86174768,0.509139033,0.466382748,0.512131449,0.497528376,0.424803478,0.399228132,0.827048458,0.294515208,0.304608828,0.366177068,0.415755066,0.290231093,0.175903306,0.208179649,0.177466487,0.225090756,0.13962515,0.140937531,0.318544776,0.530027198,0.307868615,0.02418446,0.017992112,0.017696269,0.016713919,0.012936234,0.036666722,0.003167085,0.023451088,0.007000905,0.015611252,0.045129535,0.04748733,0.06201549,0.037157104,0.064689644,0.031127979,0.043265121,0.056106977,0.03812049,0.049900725,0.045217684,0.082839034,0.03506432,0.058146889,0.045434749,0.048649689,0.042206535,0.026033126,0.02152674,0.01316476,0.017637359,0.018900421,0.022523953,0.025008525,0.009269639,0.007250756,0.006201273,0.027747781,0.021304435,0.061781127,0.009555506,0.012535667,0.01429254,0.022658552,0.029642388,0.02717633,0.037535328,0.382543303,0.082173914,0.019805241,0.055131774,0.036520663,0.01611837,0.025498732,0.00804495,0.016346117,0.0369687,0.032501177,0.034399018,0.038066188,0.031478417,0.109701034,0.028606158,0.067832,0.016657795,0.057269468,0.047089284,0.016264242,0.014410566
0.34,0.37,0.16,0.16,0.43,0.29,0.36,0.43,0.575126593,0.553578879,0.679642071,0.515550024,0.476161582,0.392879087,0.527055429,0.547774176,0.588311626,0.504829589,0.560862606,0.576983993,0.616902184,0.472862403,0.661033214,0.511995889,0.346825457,0.276096939,0.226822719,0.29676327,0.38224126,0.261950531,0.198388238,0.324642477,0.34944799,0.26932191,0.732850355,0.713920343,0.571076447,0.568408024,0.483157905,0.415551812,0.653979639,0.756050167,0.578986265,0.641035345,0.523630575,0.615027971,0.602725028,0.683234405,0.627847401,0.782128456,0.745785665,0.541283485,0.733427992,0.333560869,0.413540103,0.5108171,0.615943245,0.402292527,0.487064415,0.894581314,0.41189893,0.309401483,0.431495137,0.351228511,0.312364442,0.110082341,0.138279305,0.170067188,0.219788425,0.150562812,0.165603377,0.326920542,0.530046014,0.241520951,0.026227483,0.024796498,0.017328362,0.016236019,0.017218369,0.024456377,0.032245024,0.023443502,0.016607074,0.007957266,0.038004842,0.07974558,0.050987948,0.048409374,0.032473495,0.02753235,0.055981813,0.087986321,0.057021435,0.03439287,0.031837622,0.05869655,0.032421533,0.030313994,0.026901788,0.124944831,0.050870862,0.016283966,0.05752854,0.01195065,0.011285358,0.013256829,0.032749789,0.0236045,0.009613065,0.013479642,0.005393105,0.023824236,0.014375658,0.148389397,0.015724452,0.016889454,0.019637971,0.026855328,0.024326327,0.007985152,0.036073855,0.152521633,0.066979581,0.028640947,0.10105408,0.046417289,0.016980699,0.037507604,0.01056328,0.040939788,0.039751368,0.061765299,0.035803856,0.035897356,0.036757925,0.090549401,0.032507745,0.081930388,0.021248724,0.050435498,0.066939414,0.008179266,0.011290132
0.37,0.42,0.24,0.15,0.47,0.18,0.34,0.40,0.574884912,0.574736194,0.802284866,0.871806382,0.374254869,0.379365099,0.487403383,0.664236358,0.636247386,0.367506617,0.686493413,0.535320216,0.521175628,0.455301171,0.771956194,0.493773562,0.589775138,0.320254444,0.309657695,0.303933932,0.2489306,0.241870197,0.172732176,0.316540023,0.273736341,0.288187354,0.62180398,0.795082866,0.540894062,0.549455048,0.475411373,0.396790203,0.526850791,0.686744736,0.551230412,0.701958344,0.492822336,0.656412274,0.67210624,0.684708175,0.630142624,0.710479925,0.724060041,0.554038139,0.749563261,0.550501092,0.492916624,0.570492907,0.722151369,0.359420055,0.473419873,0.781561812,0.40944451,0.259114921,0.411896085,0.4114562,0.30517546,0.080736211,0.146913779,0.152804654,0.298589459,0.136479782,0.205615151,0.282828806,0.566375985,0.290121519,0.02799173,0.020874684,0.019092041,0.016095684,0.015318148,0.02291515,0.01541441,0.028233881,0.021384936,0.011021895,0.018239695,0.052720335,0.05140611,0.031800073,0.035391529,0.017075443,0.03230073,0.038170935,0.056053688,0.026591153,0.037495048,0.057741319,0.035900645,0.051690461,0.034161089,0.055063107,0.028557711,0.027753566,0.0167796,0.014389073,0.014265422,0.025033873,0.017004325,0.009395351,0.00755251,0.01535699,0.006296977,0.024217626,0.012930391,0.070440902,0.012057003,0.016031106,0.027131954,0.027551428,0.03942655,0.007036421,0.03610495,0.076453306,0.066782395,0.025706701,0.069856919,0.040704336,0.015697984,0.018834291,0.017799624,0.027073566,0.033709622,0.020590241,0.044818233,0.045625204,0.036501746,0.10191795,0.033176276,0.094445648,0.016571782,0.052724387,0.061100496,0.003180159,0.01623903
0.37,0.35,0.21,0.18,0.38,0.23,0.36,0.36,0.596011847,0.610332917,0.75417399,0.682134927,0.38980949,0.635204426,0.454325876,0.538466163,0.558892102,0.554742375,0.764013799,0.501256414,0.482065316,0.496387827,0.710216634,0.580229086,0.575959049,0.320712546,0.271399979,0.278996199,0.279987159,0.233426159,0.175549397,0.277137396,0.292851658,0.370312421,0.556540218,0.675463254,0.696980547,0.61647173,0.520436173,0.391554405,0.659452732,0.637884944,0.544463679,0.664119393,0.502058906,0.678136789,0.520294809,0.621845084,0.607467274,0.786045709,0.748933433,0.548492637,0.893444552,0.310490774,0.561618597,0.53032175,0.580172616,0.451025107,0.492416212,0.778693481,0.331375076,0.237257512,0.316297156,0.366470604,0.444750624,0.219815828,0.209688737,0.127498753,0.301120798,0.136977667,0.135758088,0.387051969,0.541591524,0.323522384,0.02212949,0.016911148,0.018079348,0.011703555,0.020203348,0.028550387,0.003311213,0.027953209,0.008842147,0.032193623,0.023811212,0.04232601,0.039805088,0.03825855,0.036242078,0.051939386,0.048572087,0.025141333,0.05207517,0.03530088,0.013563636,0.052337067,0.022485992,0.04175492,0.028474079,0.048159045,0.039095406,0.061939346,0.02783502,0.014246236,0.013454334,0.010378903,0.018660214,0.015307033,0.010188304,0.014912069,0.004531768,0.027447563,0.016628573,0.089728104,0.010859252,0.015638128,0.023706726,0.026098698,0.033980033,0.013409419,0.027709254,0.04488279,0.036218453,0.051268705,0.091987506,0.034423365,0.018942498,0.024779702,0.012834917,0.013098083,0.046735106,0.014976918,0.044477666,0.064804482,0.033215976,0.080339569,0.044453616,0.079823117,0.015260089,0.063471268,0.050485278,0.003025866,0.007020064
0.36,0.34,0.24,0.19,0.47,0.24,0.33,0.35,0.625799013,0.632616711,0.732545601,0.823888487,0.534340445,0.731776069,0.529779459,0.628124527,0.589343891,0.527901691,0.690530075,0.567750965,0.79533912,0.448239402,0.631069226,0.569244896,0.312929717,0.238483365,0.283312319,0.278740864,0.299684263,0.404974053,0.21581725,0.265119804,0.282957763,0.357339826,0.665573414,0.722034299,0.524444165,0.553190529,0.531190992,0.500763658,0.668538832,0.664079243,0.541210442,0.633857085,0.605630954,0.723590698,0.579019202,0.633354158,0.690379486,0.809884784,0.712824467,0.480297751,0.973590803,0.711773909,0.450654128,0.481414892,0.6757425,0.468431156,0.358047614,0.813621764,0.364654977,0.300302701,0.344508461,0.413126367,0.310883076,0.098826493,0.174372961,0.225060155,0.271800702,0.133784881,0.143915903,0.363348356,0.568965069,0.265959764,0.014268035,0.021356377,0.012625219,0.011354612,0.013023469,0.028295507,0.01179318,0.033528709,0.009393439,0.022445981,0.030525707,0.035468145,0.012481155,0.007280389,0.074320467,0.02498355,0.061288779,0.033577406,0.034882718,0.03109536,0.057045709,0.024530683,0.017936384,0.026801429,0.028674796,0.109804959,0.026717796,0.072803606,0.06938046,0.016664254,0.009909243,0.022013071,0.010622862,0.014758091,0.011879677,0.03317551,0.006403315,0.033400171,0.017574373,0.019955362,0.010838053,0.014583291,0.023810521,0.025564012,0.033719122,0.019854602,0.028776854,0.031268697,0.085898552,0.033212655,0.03242247,0.023718405,0.017638225,0.03994372,0.032827372,0.013485463,0.032377839,0.014014634,0.056525216,0.035620936,0.037968788,0.063778654,0.048541514,0.06163855,0.017765209,0.073019207,0.055261578,0.003961912,0.00726094
0.34,0.40,0.22,0.18,0.40,0.37,0.34,0.39,0.593272797,0.53467452,0.701372867,0.73850016,0.373151261,0.482542685,0.530414383,0.552010646,0.524053193,0.448091481,0.694834475,0.541663997,0.726921818,0.435586203,0.691809292,0.646197719,0.534772603,0.273777987,0.2848771,0.276102401,0.263673815,0.244801317,0.40560215,0.220130298,0.35100162,0.379974194,0.643282999,0.77528022,0.623327261,0.605946551,0.511219944,0.441738456,0.630303728,0.707289885,0.525862818,0.6795604,0.510594618,0.706631512,0.530990211,0.7017021,0.679500856,0.68651684,0.693071847,0.651550245,0.821554738,0.454495513,0.459890879,0.55705169,0.704222485,0.417244156,0.402786315,0.79728317,0.305821515,0.354198277,0.248953101,0.445055611,0.539884812,0.116843207,0.18603339,0.274735812,0.29002185,0.143402753,0.190146087,0.321341856,0.577733334,0.375082084,0.023383978,0.023525891,0.022884898,0.014343384,0.006147019,0.034269257,0.027791451,0.019616509,0.013011066,0.018402795,0.014723147,0.008944695,0.051848168,0.026555689,0.037171138,0.022309586,0.034716401,0.049886312,0.031226783,0.025109663,0.043753262,0.014481129,0.018304367,0.051958085,0.027905378,0.092877741,0.020227914,0.024854306,0.0056286,0.01359327,0.021200677,0.03478004,0.015009513,0.01642603,0.016507342,0.030907501,0.006701061,0.020987689,0.02212334,0.014473293,0.026567805,0.011708344,0.023862418,0.027571605,0.037545817,0.017029033,0.033710622,0.020368561,0.032986782,0.020409674,0.043846782,0.03195467,0.024730883,0.049666722,0.044627546,0.028503893,0.045403323,0.045791386,0.046531709,0.042850375,0.039397679,0.033892487,0.068641263,0.007149031,0.017195375,0.021464697,0.058789029,0.006595187,0.008394554
0.31,0.40,0.23,0.20,0.49,0.23,0.33,0.35,0.617904105,0.572053127,0.656661909,0.613768942,0.507874685,0.409675906,0.599109094,0.514595286,0.596634255,0.505227384,0.724656345,0.524998486,0.644540961,0.508378338,0.629840681,0.588292624,0.321408687,0.333247863,0.267403711,0.281336772,0.308042393,0.276357736,0.280712771,0.203420525,0.294661306,0.300139633,0.684679483,0.664670162,0.538054177,0.513906735,0.500220176,0.465414367,0.563088024,0.643335073,0.511755252,0.689667509,0.589326785,0.683844711,0.596628803,0.6811453,0.676243825,0.717234816,0.711032198,0.604657481,0.793815436,0.447204869,0.580818261,0.417781514,0.646826819,0.470892837,0.410774072,0.769166265,0.31143473,0.286520189,0.248314081,0.407440537,0.305647464,0.10465305,0.137602549,0.239506762,0.280675367,0.126917231,0.186721344,0.461044998,0.547104618,0.282490883,0.028919653,0.021883584,0.024530998,0.011529084,0.018306919,0.035830397,0.01845192,0.019703745,0.010117685,0.019195502,0.027319795,0.019637708,0.03544425,0.035354739,0.036477614,0.010896879,0.031462129,0.042388971,0.016483568,0.045121725,0.018357429,0.002416429,0.038175449,0.054634325,0.033793106,0.022610511,0.034813422,0.051648566,0.00715788,0.017623298,0.025994296,0.006072219,0.01356348,0.031690836,0.020662796,0.027478358,0.006467118,0.032820439,0.022367131,0.0001,0.022264382,0.016082814,0.018454711,0.027268952,0.03630649,0.025454177,0.030445629,0.0001,0.047545735,0.032641192,0.07462598,0.028120546,0.014641631,0.020326009,0.036003551,0.069824438,0.039892125,0.027743218,0.04001837,0.042690902,0.019270947,0.018118625,0.040256122,0.0001,0.021474507,0.033628509,0.057255355,0.012005743,0.013315676
0.32,0.44,0.21,0.17,0.37,0.19,0.35,0.28,0.612848947,0.6313059,0.702171643,0.521827013,0.309537651,0.473399092,0.525232581,0.577959023,0.504053078,0.73406411,0.731555742,0.599072076,0.610661834,0.452277657,0.628070745,0.589689458,0.511450401,0.325314381,0.224850357,0.264569764,0.388461698,0.353770937,0.367501004,0.243743337,0.216756324,0.308468748,0.558813657,0.73578975,0.554948046,0.34994359,0.526100633,0.441325104,0.679477363,0.665931674,0.550089866,0.680512091,0.62275402,0.726007026,0.707364026,0.833194212,0.616954198,0.734990113,0.727923211,0.517940618,0.807263914,0.656905279,0.500163699,0.749709131,0.544692452,0.384007824,0.413134091,0.820999547,0.388044582,0.344976048,0.517944454,0.473920461,0.399416471,0.137353864,0.178480171,0.238675464,0.306670272,0.151495359,0.180710727,0.497534711,0.540402351,0.348349848,0.02587304,0.024675127,0.020552291,0.008680648,0.018591384,0.007594472,0.024076537,0.022476323,0.009778983,0.025188216,0.038880992,0.012971003,0.012325838,0.036693996,0.017778639,0.051006343,0.012462191,0.024277699,0.005073705,0.031405995,0.037682794,,0.027336676,0.049850546,0.03339167,0.045039951,0.023941197,0.061238426,0.03927276,0.018276265,0.020754123,0.017318582,0.012375585,0.019212965,0.017657819,0.022855527,0.006615991,0.027168049,0.019922931,0.0001,0.018098754,0.010488042,0.011490081,0.026522411,0.051901997,0.018142761,0.025708797,0.0001,0.0001,0.031190554,0.014032114,0.02813147,0.028061629,0.022332854,0.01541492,0.010078505,0.036091672,0.037323288,0.038558496,0.055788945,0.001572343,0.006706351,0.050141603,0.0001,0.023990379,0.034827452,0.059709234,0.011656011,0.015001806
0.32,0.39,0.18,0.20,0.46,0.30,0.35,0.33,0.64763085,0.616743604,0.6700158,0.645409222,0.401428604,0.456864094,0.608469107,0.596065857,0.542203834,0.427322402,0.719301589,0.531635379,0.642584416,0.499390632,0.700409102,0.552885013,0.517593122,0.293080709,0.276249071,0.237951075,0.370315493,0.37509108,0.280589199,0.220366859,0.399679149,0.39519565,0.577276734,0.754865201,0.554580622,0.437084414,0.521094475,0.498758133,0.638103842,0.712785942,0.515896431,0.675163438,0.634152183,0.719775442,0.625751781,0.706343713,0.662414193,0.747194143,0.717169592,0.502213575,1.025533009,0.573331554,0.430568549,0.541860429,0.699233768,0.392024628,0.405436798,0.792062082,0.377101355,0.360268972,0.303850778,0.470979514,0.322007843,0.180104018,0.193104324,0.195665167,0.296492492,0.180641383,0.175585156,0.358365452,0.525251693,0.303266375,0.021408658,0.014775769,0.005282248,0.017400427,0.019645798,0.018458732,0.007717944,0.015182659,0.008153933,0.022165309,0.013536362,0.0012744,0.005742765,0.019070865,,0.006994029,0.024152535,0.026205229,,0.014631705,0.012274444,,0.044564972,0.036435893,0.040517159,0.039012039,0.024242274,0.018354866,0.01572822,0.022132849,0.028117705,0.013175185,0.01530002,0.011168856,0.016455828,0.007456939,0.006382048,0.022499134,0.025565846,0.0001,0.012141799,0.006754747,0.012538409,0.024212166,0.043198889,0.019008994,0.019417208,0.0001,0.0001,0.023157095,0.005662144,0.032107598,0.018888602,0.038505661,0.013688065,0.015392566,0.035052232,0.033848374,0.038475177,0.109042271,0.0001,0.0001,0.035850397,0.0001,0.025291321,0.021006919,0.031719675,0.006430607,0.009998162
0.32,0.36,0.22,0.21,0.46,0.30,0.34,0.32,0.631297252,0.674091604,0.795218773,0.86576345,0.585980954,0.602154569,0.435872109,0.49027632,0.517537026,0.403538457,0.67755509,0.574911273,0.603638866,0.501875712,0.636170808,0.570895699,0.5733207,0.267864315,0.276922796,0.25146256,0.42864114,0.328864837,0.287612168,0.268259607,0.304585241,0.331040647,0.597668789,0.69806751,0.502957491,0.432200731,0.504062823,0.458211318,0.594655905,0.648180482,0.519027193,0.605564557,0.579595926,0.715294387,0.710612774,0.676397332,0.672294583,0.710304852,0.689683101,0.552278366,0.839832179,0.303563211,0.428927428,0.506961191,0.821359313,0.461205866,0.379926807,0.693493159,0.362933979,0.370282715,0.334930415,0.432827081,0.475953708,0.170319522,0.162253583,0.268407464,0.240900392,0.157114345,0.186313453,0.294655465,0.492252158,0.286050307,0.017696968,0.016899769,0.009067519,0.015686055,0.006135641,0.006925412,0.006611758,0.013756545,0.016599868,0.006167038,0.004125715,,0.015838403,0.001122306,,0.023538471,0.000133509,,,0.01694952,0.016730293,,0.024058283,0.019709393,0.03205355,0.027657135,0.019759572,0.026829626,0.01951956,0.017602893,0.034369459,0.012001563,0.024257309,0.020310849,0.013304895,0.015791058,0.004903951,0.024962996,0.027712492,,0.017059997,0.004789855,0.025114597,0.021468121,0.050765307,0.030404078,0.01901297,,0.0001,0.028904699,0.000271497,0.026176176,0.027483129,0.009969832,0.016278347,0.022842183,0.013299781,0.01750024,0.0482984,0.057670726,0.0001,0.0001,0.03532434,,0.025044034,0.011894959,0.0001,0.015584239,0.009812031
